'iteration': 78, 'best_params': {'C': 0.1, 'solver': 'newton-cg'}, 'used_number_of_regions': 24, 'test_score': 0.7575757575757576
'iteration': 79, 'best_params': {'C': 0.1, 'solver': 'liblinear'}, 'used_number_of_regions': 90, 'test_score': 0.7272727272727273
'iteration': 80, 'best_params': {'C': 10, 'solver': 'newton-cg'}, 'used_number_of_regions': 416, 'test_score': 0.7272727272727273
'iteration': 81, 'best_params': {'C': 1000, 'solver': 'liblinear'}, 'used_number_of_regions': 137, 'test_score': 0.7575757575757576
'iteration': 82, 'best_params': {'C': 10, 'solver': 'liblinear'}, 'used_number_of_regions': 8, 'test_score': 0.6666666666666666
'iteration': 83, 'best_params': {'C': 0.1, 'solver': 'saga'}, 'used_number_of_regions': 22, 'test_score': 0.8484848484848485
'iteration': 84, 'best_params': {'C': 0.1, 'solver': 'newton-cg'}, 'used_number_of_regions': 2, 'test_score': 0.5151515151515151
'iteration': 85, 'best_params': {'C': 1, 'solver': 'newton-cg'}, 'used_number_of_regions': 14, 'test_score': 0.8181818181818182
'iteration': 86, 'best_params': {'C': 1000, 'solver': 'lbfgs'}, 'used_number_of_regions': 78, 'test_score': 0.7575757575757576
'iteration': 87, 'best_params': {'C': 10, 'solver': 'lbfgs'}, 'used_number_of_regions': 29, 'test_score': 0.7878787878787878
'iteration': 88, 'best_params': {'C': 0.1, 'solver': 'liblinear'}, 'used_number_of_regions': 23, 'test_score': 0.7575757575757576
'iteration': 89, 'best_params': {'C': 1000, 'solver': 'lbfgs'}, 'used_number_of_regions': 33, 'test_score': 0.7575757575757576
'iteration': 90, 'best_params': {'C': 0.1, 'solver': 'liblinear'}, 'used_number_of_regions': 22, 'test_score': 0.8787878787878788
'iteration': 91, 'best_params': {'C': 1000, 'solver': 'lbfgs'}, 'used_number_of_regions': 48, 'test_score': 0.8484848484848485
'iteration': 92, 'best_params': {'C': 0.1, 'solver': 'liblinear'}, 'used_number_of_regions': 39, 'test_score': 0.8787878787878788
'iteration': 93, 'best_params': {'C': 0.1, 'solver': 'sag'}, 'used_number_of_regions': 114, 'test_score': 0.6363636363636364
'iteration': 94, 'best_params': {'C': 0.1, 'solver': 'liblinear'}, 'used_number_of_regions': 22, 'test_score': 0.8787878787878788
'iteration': 95, 'best_params': {'C': 1, 'solver': 'liblinear'}, 'used_number_of_regions': 17, 'test_score': 0.9090909090909091
'iteration': 96, 'best_params': {'C': 1000, 'solver': 'newton-cg'}, 'used_number_of_regions': 5, 'test_score': 0.7575757575757576
'iteration': 97, 'best_params': {'C': 100, 'solver': 'liblinear'}, 'used_number_of_regions': 43, 'test_score': 0.7575757575757576
'iteration': 98, 'best_params': {'C': 1, 'solver': 'liblinear'}, 'used_number_of_regions': 20, 'test_score': 0.5757575757575758
'iteration': 99, 'best_params': {'C': 1, 'solver': 'sag'}, 'used_number_of_regions': 18, 'test_score': 0.7878787878787878
